"OTU","Sample","Abundance","diet","site","subject_id","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Genus_plot"
"2749846","SRR8146974",0.000114142221207625,"vegan","Turin","VOV113","k__","p__Bacillota","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Amedibacillus","Other"
"28050","SRR8146973",0.000111970618909598,"vegan","Turin","VOV114","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospira","Other"
"904","SRR8146973",0.000111970618909598,"vegan","Turin","VOV114","k__","p__Bacillota","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Acidaminococcus","Other"
"189330","SRR8146969",0.000107919315595322,"omnivore","Turin","VOV39","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","Other"
"577309","SRR8146969",0.000107919315595322,"omnivore","Turin","VOV39","k__","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Paraprevotella","Other"
"207244","SRR8146976",0.000107017783403387,"omnivore","Turin","VOV70","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","Other"
"1649459","SRR8146963",0.000104137298678472,"vegan","Turin","VOV56","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Hungatella","Other"
"2944193","SRR8146976",0.000103327515010167,"omnivore","Turin","VOV70","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Simiaoa","Other"
"2749846","SRR8146969",9.61462993485598e-05,"omnivore","Turin","VOV39","k__","p__Bacillota","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Amedibacillus","Other"
"724","SRR8146973",9.27756556679527e-05,"vegan","Turin","VOV114","k__","p__Pseudomonadota","c__Gammaproteobacteria","o__Pasteurellales","f__Pasteurellaceae","g__Haemophilus","Other"
"283","SRR8146971",9.16594705941946e-05,"omnivore","Turin","VOV28","k__","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Comamonas","Other"
"84111","SRR8146963",9.14376281079269e-05,"vegan","Turin","VOV56","k__","p__Actinomycetota","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Eggerthella","Other"
"239934","SRR8146976",8.85664414372857e-05,"omnivore","Turin","VOV70","k__","p__Verrucomicrobiota","c__Verrucomicrobiia","o__Verrucomicrobiales","f__Akkermansiaceae","g__Akkermansia","g__Akkermansia"
"9605","SRR8146974",8.65906505713015e-05,"vegan","Turin","VOV113","k__","p__Chordata","c__Mammalia","o__Primates","f__Hominidae","g__Homo","Other"
"207244","SRR8146963",8.63577598797087e-05,"vegan","Turin","VOV56","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","Other"
"40544","SRR8146963",8.63577598797087e-05,"vegan","Turin","VOV56","k__","p__Pseudomonadota","c__Betaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella","Other"
"61170","SRR8146969",8.63354524762577e-05,"omnivore","Turin","VOV39","k__","p__Bacillota","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemania","Other"
"1301","SRR8146963",8.38178257655996e-05,"vegan","Turin","VOV56","k__","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","Other"
"1912216","SRR8146973",8.317817404713e-05,"vegan","Turin","VOV114","k__","p__Actinomycetota","c__Actinomycetes","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium","Other"
"1017280","SRR8146963",8.12778916514906e-05,"vegan","Turin","VOV56","k__","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Pseudoflavonifractor","Other"
"52225","SRR8146963",7.87379575373815e-05,"vegan","Turin","VOV56","k__","p__Bacillota","c__Negativicutes","o__Selenomonadales","f__Selenomonadaceae","g__Mitsuokella","Other"
"2172","SRR8146974",7.87187732466377e-05,"vegan","Turin","VOV113","k__","p__Methanobacteriota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobrevibacter","Other"
"2569097","SRR8146973",7.67798529665816e-05,"vegan","Turin","VOV114","k__","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerobutyricum","Other"
